epoch,batch,loss,val_loss
207,0,0.697871,
207,end,0.697871,4.414754
208,0,0.216323,
208,end,0.216323,4.406461
209,0,0.723298,
209,end,0.723298,4.400978
210,0,0.936743,
210,end,0.936743,4.397640
211,0,0.918032,
211,end,0.918032,4.396063
212,0,0.690383,
212,end,0.690383,4.395976
213,0,0.254463,
213,end,0.254463,4.396450
214,0,0.255725,
214,end,0.255725,4.397173
215,0,0.333820,
215,end,0.333820,4.397823
216,0,0.366284,
216,end,0.366284,4.392871
217,0,0.416090,
217,end,0.416090,4.387864
218,0,0.342323,
218,end,0.342323,4.383721
219,0,0.225041,
219,end,0.225041,4.379302
220,0,0.275263,
220,end,0.275263,4.377252
221,0,0.350986,
221,end,0.350986,4.380899
222,0,0.497714,
222,end,0.497714,4.384997
223,0,0.322604,
223,end,0.322604,4.388701
224,0,0.635197,
224,end,0.635197,4.393813
225,0,0.712889,
225,end,0.712889,4.399113
226,0,0.609479,
226,end,0.609479,4.404874
227,0,0.320352,
227,end,0.320352,4.404184
228,0,0.429681,
228,end,0.429681,4.402950
229,0,0.429583,
229,end,0.429583,4.400238
230,0,0.189145,
230,end,0.189145,4.398479
231,0,0.611186,
231,end,0.611186,4.398421
232,0,0.807844,
232,end,0.807844,4.397724
233,0,0.780750,
233,end,0.780750,4.398024
234,0,0.488785,
234,end,0.488785,4.399122
235,0,0.335175,
235,end,0.335175,4.400447
236,0,0.527312,
236,end,0.527312,4.400781
237,0,0.418603,
237,end,0.418603,4.398562
238,0,0.218324,
238,end,0.218324,4.396548
239,0,0.211231,
239,end,0.211231,4.395500
240,0,0.357516,
240,end,0.357516,4.397471
241,0,0.406198,
241,end,0.406198,4.400417
242,0,0.250752,
242,end,0.250752,4.397442
243,0,0.419822,
243,end,0.419822,4.394825
244,0,0.426015,
244,end,0.426015,4.393704
245,0,0.236528,
245,end,0.236528,4.396923
246,0,0.514122,
246,end,0.514122,4.401324
247,0,0.537525,
247,end,0.537525,4.405287
248,0,0.306550,
248,end,0.306550,4.408003
249,0,0.468360,
249,end,0.468360,4.407989
250,0,0.647680,
250,end,0.647680,4.408304
251,0,0.570239,
251,end,0.570239,4.412372
252,0,0.287228,
252,end,0.287228,4.410922
253,0,0.256825,
253,end,0.256825,4.408162
254,0,0.285381,
254,end,0.285381,4.406455
255,0,0.402109,
255,end,0.402109,4.404886
256,0,0.377010,
